,Report_Date,China_qinghai_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,10.03067476454439,9.036682315819531,True,1,0.5346189242560868,18.07336463162888
1,2020-01-23,0,10.03067476454439,9.036682315819531,True,2,0.7760534053150074,18.07336463162888
2,2020-01-24,0,10.03067476454439,9.036682315819531,True,3,1.1195600556051237,18.07336463162888
3,2020-01-25,1,10.03067476454439,9.036682315819531,True,4,1.6010404886589082,18.07336463162888
4,2020-01-26,1,10.03067476454439,9.036682315819531,True,5,2.261960821548286,18.07336463162888
5,2020-01-27,6,10.03067476454439,9.036682315819531,True,6,3.143645097038929,18.07336463162888
6,2020-01-28,6,10.03067476454439,9.036682315819531,True,7,4.276056518005739,18.07336463162888
7,2020-01-29,6,10.03067476454439,9.036682315819531,True,8,5.66169521696495,18.07336463162888
8,2020-01-30,8,10.03067476454439,9.036682315819531,True,9,7.260077283139353,18.07336463162888
9,2020-01-31,8,10.03067476454439,9.036682315819531,True,10,8.983110454237105,18.07336463162888
10,2020-02-01,9,10.03067476454439,9.036682315819531,True,11,10.710047844581675,18.07336463162888
11,2020-02-02,11,10.03067476454439,9.036682315819531,True,12,12.319063773223624,18.07336463162888
12,2020-02-03,13,10.03067476454439,9.036682315819531,True,13,13.719416209136453,18.07336463162888
13,2020-02-04,15,10.03067476454439,9.036682315819531,True,14,14.867662722041395,18.07336463162888
14,2020-02-05,17,10.03067476454439,9.036682315819531,True,15,15.764059651530225,18.07336463162888
15,2020-02-06,18,10.03067476454439,9.036682315819531,True,16,16.43738210590561,18.07336463162888
16,2020-02-07,18,10.03067476454439,9.036682315819531,True,17,16.928640399160784,18.07336463162888
17,2020-02-08,18,10.03067476454439,9.036682315819531,True,18,17.279506463318832,18.07336463162888
18,2020-02-09,18,10.03067476454439,9.036682315819531,True,19,17.52630491778696,18.07336463162888
19,2020-02-10,18,10.03067476454439,9.036682315819531,True,20,17.69804400860538,18.07336463162888
20,2020-02-11,18,10.03067476454439,9.036682315819531,True,21,17.816658524224348,18.07336463162888
21,2020-02-12,18,10.03067476454439,9.036682315819531,True,22,17.898157788554688,18.07336463162888
22,2020-02-13,18,10.03067476454439,9.036682315819531,True,23,17.95395601255962,18.07336463162888
23,2020-02-14,18,10.03067476454439,9.036682315819531,True,24,17.992064862151025,18.07336463162888
24,2020-02-15,18,10.03067476454439,9.036682315819531,True,25,18.01804887543686,18.07336463162888
25,2020-02-16,18,10.03067476454439,9.036682315819531,True,26,18.035745568102005,18.07336463162888
26,2020-02-17,18,10.03067476454439,9.036682315819531,True,27,18.047788746893968,18.07336463162888
27,2020-02-18,18,10.03067476454439,9.036682315819531,True,28,18.055980198893657,18.07336463162888
28,2020-02-19,18,10.03067476454439,9.036682315819531,True,29,18.06154980769263,18.07336463162888
29,2020-02-20,18,10.03067476454439,9.036682315819531,True,30,18.065335823723753,18.07336463162888
30,2020-02-21,18,10.03067476454439,9.036682315819531,True,31,18.067908991575763,18.07336463162888
31,2020-02-22,18,10.03067476454439,9.036682315819531,True,32,18.069657649213468,18.07336463162888
32,2020-02-23,18,10.03067476454439,9.036682315819531,True,33,18.07084590014736,18.07336463162888
33,2020-02-24,18,10.03067476454439,9.036682315819531,True,34,18.07165330045976,18.07336463162888
34,2020-02-25,18,10.03067476454439,9.036682315819531,True,35,18.072201898545053,18.07336463162888
35,2020-02-26,18,10.03067476454439,9.036682315819531,True,36,18.072574641304055,18.07336463162888
36,2020-02-27,18,10.03067476454439,9.036682315819531,True,37,18.07282789573101,18.07336463162888
37,2020-02-28,18,10.03067476454439,9.036682315819531,True,38,18.07299996370826,18.07336463162888
38,2020-02-29,18,10.03067476454439,9.036682315819531,True,39,18.073116870511342,18.07336463162888
39,2020-03-01,18,10.03067476454439,9.036682315819531,True,40,18.073196299181156,18.07336463162888
40,2020-03-02,18,10.03067476454439,9.036682315819531,True,41,18.07325026431791,18.07336463162888
41,2020-03-03,18,10.03067476454439,9.036682315819531,True,42,18.073286929027283,18.07336463162888
42,2020-03-04,18,10.03067476454439,9.036682315819531,True,43,18.073311839531232,18.07336463162888
43,2020-03-05,18,10.03067476454439,9.036682315819531,True,44,18.07332876404911,18.07336463162888
