,Report_Date,Philippines_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,82.67553652756646,6446.186360327361,False,1,0.14818534504090328,12892.372720654723
1,2020-01-23,0,82.67553652756646,6446.186360327361,False,2,0.17032637032352138,12892.372720654723
2,2020-01-24,0,82.67553652756646,6446.186360327361,False,3,0.1957755335066415,12892.372720654723
3,2020-01-25,0,82.67553652756646,6446.186360327361,False,4,0.22502709440952545,12892.372720654723
4,2020-01-26,0,82.67553652756646,6446.186360327361,False,5,0.25864915367542957,12892.372720654723
5,2020-01-27,0,82.67553652756646,6446.186360327361,False,6,0.29729468268874154,12892.372720654723
6,2020-01-28,0,82.67553652756646,6446.186360327361,False,7,0.3417142005432365,12892.372720654723
7,2020-01-29,0,82.67553652756646,6446.186360327361,False,8,0.3927703438370289,12892.372720654723
8,2020-01-30,1,82.67553652756646,6446.186360327361,False,9,0.45145461168968415,12892.372720654723
9,2020-01-31,1,82.67553652756646,6446.186360327361,False,10,0.5189066104353788,12892.372720654723
10,2020-02-01,1,82.67553652756646,6446.186360327361,False,11,0.596436170744963,12892.372720654723
11,2020-02-02,2,82.67553652756646,6446.186360327361,False,12,0.6855487653876996,12892.372720654723
12,2020-02-03,2,82.67553652756646,6446.186360327361,False,13,0.7879747195114846,12892.372720654723
13,2020-02-04,2,82.67553652756646,6446.186360327361,False,14,0.9057027784007642,12892.372720654723
14,2020-02-05,2,82.67553652756646,6446.186360327361,False,15,1.0410186815382485,12892.372720654723
15,2020-02-06,2,82.67553652756646,6446.186360327361,False,16,1.1965494880188792,12892.372720654723
16,2020-02-07,3,82.67553652756646,6446.186360327361,False,17,1.3753145087321936,12892.372720654723
17,2020-02-08,3,82.67553652756646,6446.186360327361,False,18,1.5807838272814205,12892.372720654723
18,2020-02-09,3,82.67553652756646,6446.186360327361,False,19,1.8169455366644425,12892.372720654723
19,2020-02-10,3,82.67553652756646,6446.186360327361,False,20,2.0883829849385145,12892.372720654723
