,Report_Date,Iraq_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,74.95291338405798,968.8583479043815,True,1,0.09690257238237816,1735.3558519019232
1,2020-01-23,0,74.95291338405798,968.8583479043815,True,2,0.11078728504588274,1735.3558519019232
2,2020-01-24,0,74.95291338405798,968.8583479043815,True,3,0.1266613426640473,1735.3558519019232
3,2020-01-25,0,74.95291338405798,968.8583479043815,True,4,0.14480973052372606,1735.3558519019232
4,2020-01-26,0,74.95291338405798,968.8583479043815,True,5,0.16555824745456152,1735.3558519019232
5,2020-01-27,0,74.95291338405798,968.8583479043815,True,6,0.18927934708470628,1735.3558519019232
6,2020-01-28,0,74.95291338405798,968.8583479043815,True,7,0.21639881394345933,1735.3558519019232
7,2020-01-29,0,74.95291338405798,968.8583479043815,True,8,0.24740339337389705,1735.3558519019232
8,2020-01-30,0,74.95291338405798,968.8583479043815,True,9,0.2828495110611995,1735.3558519019232
9,2020-01-31,0,74.95291338405798,968.8583479043815,True,10,0.3233732371758875,1735.3558519019232
10,2020-02-01,0,74.95291338405798,968.8583479043815,True,11,0.36970167199331555,1735.3558519019232
11,2020-02-02,0,74.95291338405798,968.8583479043815,True,12,0.422665954738895,1735.3558519019232
12,2020-02-03,0,74.95291338405798,968.8583479043815,True,13,0.48321612572362205,1735.3558519019232
13,2020-02-04,0,74.95291338405798,968.8583479043815,True,14,0.552438104025005,1735.3558519019232
14,2020-02-05,0,74.95291338405798,968.8583479043815,True,15,0.6315730795341604,1735.3558519019232
15,2020-02-06,0,74.95291338405798,968.8583479043815,True,16,0.722039659685064,1735.3558519019232
16,2020-02-07,0,74.95291338405798,968.8583479043815,True,17,0.8254591582184948,1735.3558519019232
17,2020-02-08,0,74.95291338405798,968.8583479043815,True,18,0.9436844665817512,1735.3558519019232
18,2020-02-09,0,74.95291338405798,968.8583479043815,True,19,1.078833008755181,1735.3558519019232
19,2020-02-10,0,74.95291338405798,968.8583479043815,True,20,1.233324348213115,1735.3558519019232
20,2020-02-11,0,74.95291338405798,968.8583479043815,True,21,1.409923092204391,1735.3558519019232
21,2020-02-12,0,74.95291338405798,968.8583479043815,True,22,1.6117878244480803,1735.3558519019232
22,2020-02-13,0,74.95291338405798,968.8583479043815,True,23,1.842526893573241,1735.3558519019232
23,2020-02-14,0,74.95291338405798,968.8583479043815,True,24,2.106261992066688,1735.3558519019232
24,2020-02-15,0,74.95291338405798,968.8583479043815,True,25,2.407700579955725,1735.3558519019232
25,2020-02-16,0,74.95291338405798,968.8583479043815,True,26,2.7522183396560975,1735.3558519019232
26,2020-02-17,0,74.95291338405798,968.8583479043815,True,27,3.1459529938744226,1735.3558519019232
27,2020-02-18,0,74.95291338405798,968.8583479043815,True,28,3.595910977372567,1735.3558519019232
28,2020-02-19,0,74.95291338405798,968.8583479043815,True,29,4.110088625515886,1735.3558519019232
29,2020-02-20,0,74.95291338405798,968.8583479043815,True,30,4.6976097269006845,1735.3558519019232
30,2020-02-21,0,74.95291338405798,968.8583479043815,True,31,5.3688814821042,1735.3558519019232
31,2020-02-22,0,74.95291338405798,968.8583479043815,True,32,6.13577111253077,1735.3558519019232
32,2020-02-23,0,74.95291338405798,968.8583479043815,True,33,7.011805567475356,1735.3558519019232
33,2020-02-24,1,74.95291338405798,968.8583479043815,True,34,8.012396976550423,1735.3558519019232
34,2020-02-25,1,74.95291338405798,968.8583479043815,True,35,9.155096678044151,1735.3558519019232
35,2020-02-26,5,74.95291338405798,968.8583479043815,True,36,10.459880807009734,1735.3558519019232
36,2020-02-27,7,74.95291338405798,968.8583479043815,True,37,11.949470530026348,1735.3558519019232
37,2020-02-28,7,74.95291338405798,968.8583479043815,True,38,13.64969003992232,1735.3558519019232
38,2020-02-29,13,74.95291338405798,968.8583479043815,True,39,15.58986533801348,1735.3558519019232
