,Report_Date,Estonia_cases,active_patients,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,0,72.67792742014016,884.1267311291797,True,1,0.2980425238794773,1767.6096319459998
1,2020-01-23,0,0,72.67792742014016,884.1267311291797,True,2,0.33644163442051955,1767.6096319459998
2,2020-01-24,0,0,72.67792742014016,884.1267311291797,True,3,0.3797869349388402,1767.6096319459998
3,2020-01-25,0,0,72.67792742014016,884.1267311291797,True,4,0.4287152527686699,1767.6096319459998
4,2020-01-26,0,0,72.67792742014016,884.1267311291797,True,5,0.4839453275233501,1767.6096319459998
5,2020-01-27,0,0,72.67792742014016,884.1267311291797,True,6,0.5462883251878792,1767.6096319459998
6,2020-01-28,0,0,72.67792742014016,884.1267311291797,True,7,0.6166596957654353,1767.6096319459998
7,2020-01-29,0,0,72.67792742014016,884.1267311291797,True,8,0.6960925445140743,1767.6096319459998
8,2020-01-30,0,0,72.67792742014016,884.1267311291797,True,9,0.7857527078744483,1767.6096319459998
9,2020-01-31,0,0,72.67792742014016,884.1267311291797,True,10,0.8869557487375765,1767.6096319459998
10,2020-02-01,0,0,72.67792742014016,884.1267311291797,True,11,1.0011861119906802,1767.6096319459998
11,2020-02-02,0,0,72.67792742014016,884.1267311291797,True,12,1.130118710582329,1767.6096319459998
12,2020-02-03,0,0,72.67792742014016,884.1267311291797,True,13,1.2756432449528536,1767.6096319459998
13,2020-02-04,0,0,72.67792742014016,884.1267311291797,True,14,1.4398915948790825,1767.6096319459998
14,2020-02-05,0,0,72.67792742014016,884.1267311291797,True,15,1.6252686628847448,1767.6096319459998
15,2020-02-06,0,0,72.67792742014016,884.1267311291797,True,16,1.834487092665148,1767.6096319459998
16,2020-02-07,0,0,72.67792742014016,884.1267311291797,True,17,2.0706063347459494,1767.6096319459998
17,2020-02-08,0,0,72.67792742014016,884.1267311291797,True,18,2.337076585086138,1767.6096319459998
