,Report_Date,Estonia_cases,active_patients,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
18,2020-02-09,0,0,72.67792742014016,884.1267311291797,True,19,2.6377881807339736,1767.6096319459998
19,2020-02-10,0,0,72.67792742014016,884.1267311291797,True,20,2.977127100054705,1767.6096319459998
20,2020-02-11,0,0,72.67792742014016,884.1267311291797,True,21,3.360037283448241,1767.6096319459998
21,2020-02-12,0,0,72.67792742014016,884.1267311291797,True,22,3.7920905636645936,1767.6096319459998
22,2020-02-13,0,0,72.67792742014016,884.1267311291797,True,23,4.279565072362798,1767.6096319459998
23,2020-02-14,0,0,72.67792742014016,884.1267311291797,True,24,4.829533070674396,1767.6096319459998
24,2020-02-15,0,0,72.67792742014016,884.1267311291797,True,25,5.449959235017854,1767.6096319459998
25,2020-02-16,0,0,72.67792742014016,884.1267311291797,True,26,6.149810513483215,1767.6096319459998
26,2020-02-17,0,0,72.67792742014016,884.1267311291797,True,27,6.939178750237891,1767.6096319459998
27,2020-02-18,0,0,72.67792742014016,884.1267311291797,True,28,7.8294173521042065,1767.6096319459998
28,2020-02-19,0,0,72.67792742014016,884.1267311291797,True,29,8.83329333800991,1767.6096319459998
29,2020-02-20,0,0,72.67792742014016,884.1267311291797,True,30,9.965156162146627,1767.6096319459998
30,2020-02-21,0,0,72.67792742014016,884.1267311291797,True,31,11.241124727176338,1767.6096319459998
31,2020-02-22,0,0,72.67792742014016,884.1267311291797,True,32,12.679293994079138,1767.6096319459998
32,2020-02-23,0,0,72.67792742014016,884.1267311291797,True,33,14.299962536647513,1767.6096319459998
33,2020-02-24,0,0,72.67792742014016,884.1267311291797,True,34,16.12588226401177,1767.6096319459998
34,2020-02-25,0,0,72.67792742014016,884.1267311291797,True,35,18.182531322411478,1767.6096319459998
35,2020-02-26,0,0,72.67792742014016,884.1267311291797,True,36,20.49841086108237,1767.6096319459998
36,2020-02-27,1,1,72.67792742014016,884.1267311291797,True,37,23.105365874048104,1767.6096319459998
37,2020-02-28,1,1,72.67792742014016,884.1267311291797,True,38,26.03892967050137,1767.6096319459998
38,2020-02-29,1,1,72.67792742014016,884.1267311291797,True,39,29.338690634635395,1767.6096319459998
39,2020-03-01,1,1,72.67792742014016,884.1267311291797,True,40,33.04867875673234,1767.6096319459998
40,2020-03-02,1,1,72.67792742014016,884.1267311291797,True,41,37.21776788877412,1767.6096319459998
41,2020-03-03,2,2,72.67792742014016,884.1267311291797,True,42,41.9000877306902,1767.6096319459998
42,2020-03-04,2,2,72.67792742014016,884.1267311291797,True,43,47.15543711367583,1767.6096319459998
43,2020-03-05,3,3,72.67792742014016,884.1267311291797,True,44,53.049687139955076,1767.6096319459998
44,2020-03-06,10,10,72.67792742014016,884.1267311291797,True,45,59.65515909449473,1767.6096319459998
45,2020-03-07,10,10,72.67792742014016,884.1267311291797,True,46,67.05095770916347,1767.6096319459998
46,2020-03-08,10,10,72.67792742014016,884.1267311291797,True,47,75.32323530845512,1767.6096319459998
47,2020-03-09,10,10,72.67792742014016,884.1267311291797,True,48,84.56535662138137,1767.6096319459998
48,2020-03-10,12,12,72.67792742014016,884.1267311291797,True,49,94.87792770364092,1767.6096319459998
49,2020-03-11,16,16,72.67792742014016,884.1267311291797,True,50,106.36864568089086,1767.6096319459998
50,2020-03-12,16,16,72.67792742014016,884.1267311291797,True,51,119.15191924528929,1767.6096319459998
51,2020-03-13,79,79,72.67792742014016,884.1267311291797,True,52,133.34820354735407,1767.6096319459998
52,2020-03-14,115,115,72.67792742014016,884.1267311291797,True,53,149.08298808596766,1767.6096319459998
53,2020-03-15,171,170,72.67792742014016,884.1267311291797,True,54,166.48537343586045,1767.6096319459998
54,2020-03-16,205,204,72.67792742014016,884.1267311291797,True,55,185.68617346543866,1767.6096319459998
55,2020-03-17,225,224,72.67792742014016,884.1267311291797,True,56,206.81548564382317,1767.6096319459998
56,2020-03-18,258,257,72.67792742014016,884.1267311291797,True,57,229.9996848442712,1767.6096319459998
57,2020-03-19,267,266,72.67792742014016,884.1267311291797,True,58,255.35781746620975,1767.6096319459998
58,2020-03-20,283,282,72.67792742014016,884.1267311291797,True,59,282.9974042189297,1767.6096319459998
59,2020-03-21,306,305,72.67792742014016,884.1267311291797,True,60,313.00970242022544,1767.6096319459998
60,2020-03-22,326,324,72.67792742014016,884.1267311291797,True,61,345.46453196391667,1767.6096319459998
61,2020-03-23,352,350,72.67792742014016,884.1267311291797,True,62,380.4048314015122,1767.6096319459998
62,2020-03-24,369,362,72.67792742014016,884.1267311291797,True,63,417.8411779882144,1767.6096319459998
63,2020-03-25,404,395,72.67792742014016,884.1267311291797,True,64,457.74657181331963,1767.6096319459998
64,2020-03-26,538,529,72.67792742014016,884.1267311291797,True,65,500.05184071270264,1767.6096319459998
65,2020-03-27,575,563,72.67792742014016,884.1267311291797,True,66,544.6420592772809,1767.6096319459998
66,2020-03-28,645,624,72.67792742014016,884.1267311291797,True,67,591.3543811888375,1767.6096319459998
67,2020-03-29,679,656,72.67792742014016,884.1267311291797,True,68,639.9776499980821,1767.6096319459998
68,2020-03-30,715,692,72.67792742014016,884.1267311291797,True,69,690.2540736497422,1767.6096319459998
69,2020-03-31,745,715,72.67792742014016,884.1267311291797,True,70,741.8831227995416,1767.6096319459998
70,2020-04-01,779,741,72.67792742014016,884.1267311291797,True,71,794.5276499703064,1767.6096319459998
71,2020-04-02,858,802,72.67792742014016,884.1267311291797,True,72,847.8220413056896,1767.6096319459998
72,2020-04-03,961,901,72.67792742014016,884.1267311291797,True,73,901.3820268154738,1767.6096319459998
73,2020-04-04,1039,967,72.67792742014016,884.1267311291797,True,74,954.8156133389584,1767.6096319459998
74,2020-04-05,1097,1020,72.67792742014016,884.1267311291797,True,75,1007.73449038264,1767.6096319459998
75,2020-04-06,1108,1027,72.67792742014016,884.1267311291797,True,76,1059.7652098897909,1767.6096319459998
76,2020-04-07,1149,1059,72.67792742014016,884.1267311291797,True,77,1110.5594645483256,1767.6096319459998
77,2020-04-08,1185,1089,72.67792742014016,884.1267311291797,True,78,1159.802881743842,1767.6096319459998
78,2020-04-09,1207,1100,72.67792742014016,884.1267311291797,True,79,1207.221897458851,1767.6096319459998
79,2020-04-10,1258,1141,72.67792742014016,884.1267311291797,True,80,1252.5884545430151,1767.6096319459998
80,2020-04-11,1304,1187,72.67792742014016,884.1267311291797,True,81,1295.7224580040972,1767.6096319459998
81,2020-04-12,1309,1186,72.67792742014016,884.1267311291797,True,82,1336.4920930441679,1767.6096319459998
82,2020-04-13,1332,1202,72.67792742014016,884.1267311291797,True,83,1374.8122515497635,1767.6096319459998
83,2020-04-14,1373,1227,72.67792742014016,884.1267311291797,True,84,1410.6414091201575,1767.6096319459998
84,2020-04-15,1400,1248,72.67792742014016,884.1267311291797,True,85,1443.9773447081031,1767.6096319459998
85,2020-04-16,1434,1265,72.67792742014016,884.1267311291797,True,86,1474.8521023463056,1767.6096319459998
86,2020-04-17,1459,1276,72.67792742014016,884.1267311291797,True,87,1503.3265675376158,1767.6096319459998
87,2020-04-18,1512,1312,72.67792742014016,884.1267311291797,True,88,1529.4849801782316,1767.6096319459998
88,2020-04-19,1528,1324,72.67792742014016,884.1267311291797,True,89,1553.4296419740474,1767.6096319459998
89,2020-04-20,1535,1330,72.67792742014016,884.1267311291797,True,90,1575.2760084675383,1767.6096319459998
90,2020-04-21,1552,1340,72.67792742014016,884.1267311291797,True,91,1595.148291117846,1767.6096319459998
91,2020-04-22,1559,1331,72.67792742014016,884.1267311291797,True,92,1613.1756380718705,1767.6096319459998
92,2020-04-23,1592,1355,72.67792742014016,884.1267311291797,True,93,1629.4889158195201,1767.6096319459998
93,2020-04-24,1605,1353,72.67792742014016,884.1267311291797,True,94,1644.2180785507537,1767.6096319459998
94,2020-04-25,1635,1361,72.67792742014016,884.1267311291797,True,95,1657.4900871697232,1767.6096319459998
95,2020-04-26,1643,1361,72.67792742014016,884.1267311291797,True,96,1669.4273242440968,1767.6096319459998
96,2020-04-27,1647,1364,72.67792742014016,884.1267311291797,True,97,1680.146442983015,1767.6096319459998
97,2020-04-28,1660,1370,72.67792742014016,884.1267311291797,True,98,1689.7575858868927,1767.6096319459998
98,2020-04-29,1666,1380,72.67792742014016,884.1267311291797,True,99,1698.363910366119,1767.6096319459998
99,2020-04-30,1689,1388,72.67792742014016,884.1267311291797,True,100,1706.0613629868758,1767.6096319459998
100,2020-05-01,1694,1389,72.67792742014016,884.1267311291797,True,101,1712.9386499476468,1767.6096319459998
101,2020-05-02,1699,1390,72.67792742014016,884.1267311291797,True,102,1719.0773580669766,1767.6096319459998
102,2020-05-03,1700,1386,72.67792742014016,884.1267311291797,True,103,1724.5521873610242,1767.6096319459998
103,2020-05-04,1703,1389,72.67792742014016,884.1267311291797,True,104,1729.431262799613,1767.6096319459998
104,2020-05-05,1711,1395,72.67792742014016,884.1267311291797,True,105,1733.7764988019592,1767.6096319459998
105,2020-05-06,1713,1394,72.67792742014016,884.1267311291797,True,106,1737.6439953371778,1767.6096319459998
106,2020-05-07,1720,1391,72.67792742014016,884.1267311291797,True,107,1741.0844490837433,1767.6096319459998
107,2020-05-08,1725,965,72.67792742014016,884.1267311291797,True,108,1744.143566986829,1767.6096319459998
108,2020-05-09,1733,926,72.67792742014016,884.1267311291797,True,109,1746.8624727787076,1767.6096319459998
109,2020-05-10,1739,929,72.67792742014016,884.1267311291797,True,110,1749.278099660507,1767.6096319459998
110,2020-05-11,1741,929,72.67792742014016,884.1267311291797,True,111,1751.4235644574228,1767.6096319459998
111,2020-05-12,1746,908,72.67792742014016,884.1267311291797,True,112,1753.3285202287545,1767.6096319459998
112,2020-05-13,1751,913,72.67792742014016,884.1267311291797,True,113,1755.0194856100404,1767.6096319459998
113,2020-05-14,1758,787,72.67792742014016,884.1267311291797,True,114,1756.5201501519448,1767.6096319459998
114,2020-05-15,1766,780,72.67792742014016,884.1267311291797,True,115,1757.8516556567151,1767.6096319459998
115,2020-05-16,1770,773,72.67792742014016,884.1267311291797,True,116,1759.0328540474316,1767.6096319459998
116,2020-05-17,1774,773,72.67792742014016,884.1267311291797,True,117,1760.0805426797724,1767.6096319459998
117,2020-05-18,1784,782,72.67792742014016,884.1267311291797,True,118,1761.0096782554745,1767.6096319459998
118,2020-05-19,1791,789,72.67792742014016,884.1267311291797,True,119,1761.8335706497276,1767.6096319459998
119,2020-05-20,1794,774,72.67792742014016,884.1267311291797,True,120,1762.5640580446516,1767.6096319459998
120,2020-05-21,1800,248,72.67792742014016,884.1267311291797,True,121,1763.2116647864104,1767.6096319459998
121,2020-05-22,1807,235,72.67792742014016,884.1267311291797,True,122,1763.785743369178,1767.6096319459998
122,2020-05-23,1821,231,72.67792742014016,884.1267311291797,True,123,1764.2946019067695,1767.6096319459998
123,2020-05-24,1823,227,72.67792742014016,884.1267311291797,True,124,1764.745618391217,1767.6096319459998
124,2020-05-25,1824,221,72.67792742014016,884.1267311291797,True,125,1765.1453429638736,1767.6096319459998
125,2020-05-26,1834,217,72.67792742014016,884.1267311291797,True,126,1765.4995893439723,1767.6096319459998
126,2020-05-27,1840,213,72.67792742014016,884.1267311291797,True,127,1765.8135164758494,1767.6096319459998
127,2020-05-28,1851,211,72.67792742014016,884.1267311291797,True,128,1766.0917013721091,1767.6096319459998
