,Report_Date,Poland_cases,active_patients,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,0,97.24409667492405,11787.29710898336,True,1,20.224911191002786,22445.548479978905
1,2020-01-23,0,0,97.24409667492405,11787.29710898336,True,2,21.76289592007181,22445.548479978905
2,2020-01-24,0,0,97.24409667492405,11787.29710898336,True,3,23.417719004094273,22445.548479978905
3,2020-01-25,0,0,97.24409667492405,11787.29710898336,True,4,25.198238121491322,22445.548479978905
4,2020-01-26,0,0,97.24409667492405,11787.29710898336,True,5,27.113979567156733,22445.548479978905
5,2020-01-27,0,0,97.24409667492405,11787.29710898336,True,6,29.175188265324945,22445.548479978905
6,2020-01-28,0,0,97.24409667492405,11787.29710898336,True,7,31.39288145113651,22445.548479978905
7,2020-01-29,0,0,97.24409667492405,11787.29710898336,True,8,33.778906278533874,22445.548479978905
8,2020-01-30,0,0,97.24409667492405,11787.29710898336,True,9,36.34600162836431,22445.548479978905
9,2020-01-31,0,0,97.24409667492405,11787.29710898336,True,10,39.10786440752714,22445.548479978905
10,2020-02-01,0,0,97.24409667492405,11787.29710898336,True,11,42.079220647654616,22445.548479978905
11,2020-02-02,0,0,97.24409667492405,11787.29710898336,True,12,45.27590173012112,22445.548479978905
12,2020-02-03,0,0,97.24409667492405,11787.29710898336,True,13,48.71492608307924,22445.548479978905
13,2020-02-04,0,0,97.24409667492405,11787.29710898336,True,14,52.41458671564915,22445.548479978905
14,2020-02-05,0,0,97.24409667492405,11787.29710898336,True,15,56.39454497424186,22445.548479978905
15,2020-02-06,0,0,97.24409667492405,11787.29710898336,True,16,60.67593092615164,22445.548479978905
16,2020-02-07,0,0,97.24409667492405,11787.29710898336,True,17,65.28145079585127,22445.548479978905
17,2020-02-08,0,0,97.24409667492405,11787.29710898336,True,18,70.235501899669,22445.548479978905
18,2020-02-09,0,0,97.24409667492405,11787.29710898336,True,19,75.56429554447978,22445.548479978905
19,2020-02-10,0,0,97.24409667492405,11787.29710898336,True,20,81.29598837541161,22445.548479978905
20,2020-02-11,0,0,97.24409667492405,11787.29710898336,True,21,87.46082267600116,22445.548479978905
21,2020-02-12,0,0,97.24409667492405,11787.29710898336,True,22,94.09127614130908,22445.548479978905
22,2020-02-13,0,0,97.24409667492405,11787.29710898336,True,23,101.2222216597238,22445.548479978905
23,2020-02-14,0,0,97.24409667492405,11787.29710898336,True,24,108.89109765195192,22445.548479978905
24,2020-02-15,0,0,97.24409667492405,11787.29710898336,True,25,117.13808952531362,22445.548479978905
25,2020-02-16,0,0,97.24409667492405,11787.29710898336,True,26,126.00632280711726,22445.548479978905
26,2020-02-17,0,0,97.24409667492405,11787.29710898336,True,27,135.54206852162437,22445.548479978905
27,2020-02-18,0,0,97.24409667492405,11787.29710898336,True,28,145.79496136982408,22445.548479978905
28,2020-02-19,0,0,97.24409667492405,11787.29710898336,True,29,156.81823125863485,22445.548479978905
29,2020-02-20,0,0,97.24409667492405,11787.29710898336,True,30,168.66894870475932,22445.548479978905
30,2020-02-21,0,0,97.24409667492405,11787.29710898336,True,31,181.4082846065401,22445.548479978905
31,2020-02-22,0,0,97.24409667492405,11787.29710898336,True,32,195.1017848328553,22445.548479978905
32,2020-02-23,0,0,97.24409667492405,11787.29710898336,True,33,209.8196600191438,22445.548479978905
33,2020-02-24,0,0,97.24409667492405,11787.29710898336,True,34,225.6370908845518,22445.548479978905
34,2020-02-25,0,0,97.24409667492405,11787.29710898336,True,35,242.6345492881096,22445.548479978905
35,2020-02-26,0,0,97.24409667492405,11787.29710898336,True,36,260.8981351226074,22445.548479978905
36,2020-02-27,0,0,97.24409667492405,11787.29710898336,True,37,280.5199289988644,22445.548479978905
37,2020-02-28,0,0,97.24409667492405,11787.29710898336,True,38,301.5983604964488,22445.548479978905
38,2020-02-29,0,0,97.24409667492405,11787.29710898336,True,39,324.23859154520267,22445.548479978905
39,2020-03-01,0,0,97.24409667492405,11787.29710898336,True,40,348.5529142503972,22445.548479978905
40,2020-03-02,0,0,97.24409667492405,11787.29710898336,True,41,374.66116217772395,22445.548479978905
41,2020-03-03,0,0,97.24409667492405,11787.29710898336,True,42,402.6911337670326,22445.548479978905
42,2020-03-04,1,1,97.24409667492405,11787.29710898336,True,43,432.77902613968337,22445.548479978905
43,2020-03-05,1,1,97.24409667492405,11787.29710898336,True,44,465.0698770972946,22445.548479978905
44,2020-03-06,5,5,97.24409667492405,11787.29710898336,True,45,499.71801257290167,22445.548479978905
45,2020-03-07,5,5,97.24409667492405,11787.29710898336,True,46,536.8874961824148,22445.548479978905
46,2020-03-08,11,11,97.24409667492405,11787.29710898336,True,47,576.752576828054,22445.548479978905
47,2020-03-09,16,16,97.24409667492405,11787.29710898336,True,48,619.4981295197623,22445.548479978905
48,2020-03-10,22,22,97.24409667492405,11787.29710898336,True,49,665.3200836995279,22445.548479978905
49,2020-03-11,31,31,97.24409667492405,11787.29710898336,True,50,714.4258323721144,22445.548479978905
50,2020-03-12,49,48,97.24409667492405,11787.29710898336,True,51,767.0346142602829,22445.548479978905
51,2020-03-13,68,66,97.24409667492405,11787.29710898336,True,52,823.377860011404,22445.548479978905
52,2020-03-14,103,100,97.24409667492405,11787.29710898336,True,53,883.6994921863019,22445.548479978905
53,2020-03-15,119,116,97.24409667492405,11787.29710898336,True,54,948.2561673643501,22445.548479978905
54,2020-03-16,177,160,97.24409667492405,11787.29710898336,True,55,1017.3174472097973,22445.548479978905
55,2020-03-17,238,220,97.24409667492405,11787.29710898336,True,56,1091.1658837767284,22445.548479978905
56,2020-03-18,251,233,97.24409667492405,11787.29710898336,True,57,1170.0970027043725,22445.548479978905
57,2020-03-19,355,349,97.24409667492405,11787.29710898336,True,58,1254.419166298692,22445.548479978905
