,Report_Date,Kenya_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,83.10257410738195,234.67810867078154,False,1,0.00708198757770593,469.3562171890734
1,2020-01-23,0,83.10257410738195,234.67810867078154,False,2,0.008107325211669002,469.3562171890734
2,2020-01-24,0,83.10257410738195,234.67810867078154,False,3,0.009281109374645467,469.3562171890734
3,2020-01-25,0,83.10257410738195,234.67810867078154,False,4,0.01062483097520343,469.3562171890734
4,2020-01-26,0,83.10257410738195,234.67810867078154,False,5,0.012163091921786424,469.3562171890734
5,2020-01-27,0,83.10257410738195,234.67810867078154,False,6,0.01392405537968137,469.3562171890734
6,2020-01-28,0,83.10257410738195,234.67810867078154,False,7,0.015939961166667526,469.3562171890734
7,2020-01-29,0,83.10257410738195,234.67810867078154,False,8,0.018247715702484214,469.3562171890734
8,2020-01-30,0,83.10257410738195,234.67810867078154,False,9,0.020889567285485182,469.3562171890734
9,2020-01-31,0,83.10257410738195,234.67810867078154,False,10,0.023913879023197783,469.3562171890734
10,2020-02-01,0,83.10257410738195,234.67810867078154,False,11,0.027376013519751535,469.3562171890734
11,2020-02-02,0,83.10257410738195,234.67810867078154,False,12,0.031339345453933104,469.3562171890734
12,2020-02-03,0,83.10257410738195,234.67810867078154,False,13,0.0358764205030035,469.3562171890734
13,2020-02-04,0,83.10257410738195,234.67810867078154,False,14,0.04107028172038326,469.3562171890734
14,2020-02-05,0,83.10257410738195,234.67810867078154,False,15,0.047015987506485446,469.3562171890734
15,2020-02-06,0,83.10257410738195,234.67810867078154,False,16,0.053822348774281416,469.3562171890734
16,2020-02-07,0,83.10257410738195,234.67810867078154,False,17,0.06161391686464538,469.3562171890734
17,2020-02-08,0,83.10257410738195,234.67810867078154,False,18,0.07053325827911394,469.3562171890734
18,2020-02-09,0,83.10257410738195,234.67810867078154,False,19,0.08074355744625981,469.3562171890734
19,2020-02-10,0,83.10257410738195,234.67810867078154,False,20,0.09243159460911358,469.3562171890734
20,2020-02-11,0,83.10257410738195,234.67810867078154,False,21,0.10581115261256378,469.3562171890734
21,2020-02-12,0,83.10257410738195,234.67810867078154,False,22,0.12112691399096602,469.3562171890734
22,2020-02-13,0,83.10257410738195,234.67810867078154,False,23,0.13865891842986183,469.3562171890734
23,2020-02-14,0,83.10257410738195,234.67810867078154,False,24,0.15872766053832885,469.3562171890734
24,2020-02-15,0,83.10257410738195,234.67810867078154,False,25,0.1816999190715704,469.3562171890734
25,2020-02-16,0,83.10257410738195,234.67810867078154,False,26,0.20799542145399594,469.3562171890734
26,2020-02-17,0,83.10257410738195,234.67810867078154,False,27,0.2380944618542477,469.3562171890734
27,2020-02-18,0,83.10257410738195,234.67810867078154,False,28,0.27254660735408714,469.3562171890734
28,2020-02-19,0,83.10257410738195,234.67810867078154,False,29,0.3119806451461114,469.3562171890734
29,2020-02-20,0,83.10257410738195,234.67810867078154,False,30,0.35711594441680866,469.3562171890734
30,2020-02-21,0,83.10257410738195,234.67810867078154,False,31,0.4087754298561078,469.3562171890734
31,2020-02-22,0,83.10257410738195,234.67810867078154,False,32,0.46790038981984605,469.3562171890734
32,2020-02-23,0,83.10257410738195,234.67810867078154,False,33,0.5355673712888855,469.3562171890734
33,2020-02-24,0,83.10257410738195,234.67810867078154,False,34,0.6130074461304205,469.3562171890734
34,2020-02-25,0,83.10257410738195,234.67810867078154,False,35,0.7016281689485386,469.3562171890734
