,Report_Date,Uzbekistan_cases,active_patients,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
67,2020-03-29,144,135,92.71079632570739,1572.632262195469,True,68,277.90838875622404,3102.2106337388564
68,2020-03-30,149,140,92.71079632570739,1572.632262195469,True,69,302.78544464069745,3102.2106337388564
69,2020-03-31,172,163,92.71079632570739,1572.632262195469,True,70,329.63337445589667,3102.2106337388564
70,2020-04-01,181,167,92.71079632570739,1572.632262195469,True,71,358.56160680956236,3102.2106337388564
71,2020-04-02,205,178,92.71079632570739,1572.632262195469,True,72,389.67719485328456,3102.2106337388564
72,2020-04-03,227,200,92.71079632570739,1572.632262195469,True,73,423.0830134644119,3102.2106337388564
73,2020-04-04,266,239,92.71079632570739,1572.632262195469,True,74,458.8757172890106,3102.2106337388564
74,2020-04-05,342,310,92.71079632570739,1572.632262195469,True,75,497.14347002045326,3102.2106337388564
75,2020-04-06,457,425,92.71079632570739,1572.632262195469,True,76,537.9634670286781,3102.2106337388564
76,2020-04-07,520,488,92.71079632570739,1572.632262195469,True,77,581.3992871756955,3102.2106337388564
77,2020-04-08,545,512,92.71079632570739,1572.632262195469,True,78,627.4981250099871,3102.2106337388564
78,2020-04-09,582,541,92.71079632570739,1572.632262195469,True,79,676.2879709313015,3102.2106337388564
79,2020-04-10,624,579,92.71079632570739,1572.632262195469,True,80,727.7748234848992,3102.2106337388564
80,2020-04-11,767,721,92.71079632570739,1572.632262195469,True,81,781.9400335267394,3102.2106337388564
81,2020-04-12,865,795,92.71079632570739,1572.632262195469,True,82,838.7378931963115,3102.2106337388564
82,2020-04-13,998,909,92.71079632570739,1572.632262195469,True,83,898.0935918677101,3102.2106337388564
83,2020-04-14,1165,1062,92.71079632570739,1572.632262195469,True,84,959.9016649002677,3102.2106337388564
84,2020-04-15,1302,1191,92.71079632570739,1572.632262195469,True,85,1024.0250575782418,3102.2106337388564
85,2020-04-16,1349,1216,92.71079632570739,1572.632262195469,True,86,1090.2949149421438,3102.2106337388564
86,2020-04-17,1405,1245,92.71079632570739,1572.632262195469,True,87,1158.5111876430506,3102.2106337388564
87,2020-04-18,1490,1291,92.71079632570739,1572.632262195469,True,88,1228.4441146070417,3102.2106337388564
88,2020-04-19,1565,1335,92.71079632570739,1572.632262195469,True,89,1299.8366061728977,3102.2106337388564
89,2020-04-20,1627,1361,92.71079632570739,1572.632262195469,True,90,1372.407508384681,3102.2106337388564
90,2020-04-21,1678,1315,92.71079632570739,1572.632262195469,True,91,1445.855683060268,3102.2106337388564
91,2020-04-22,1716,1259,92.71079632570739,1572.632262195469,True,92,1519.8647925441412,3102.2106337388564
92,2020-04-23,1758,1190,92.71079632570739,1572.632262195469,True,93,1594.108636435663,3102.2106337388564
93,2020-04-24,1804,1175,92.71079632570739,1572.632262195469,True,94,1668.2568537169268,3102.2106337388564
94,2020-04-25,1862,1147,92.71079632570739,1572.632262195469,True,95,1741.980780706753,3102.2106337388564
95,2020-04-26,1869,1072,92.71079632570739,1572.632262195469,True,96,1814.9592453251591,3102.2106337388564
96,2020-04-27,1904,1004,92.71079632570739,1572.632262195469,True,97,1886.8840822257985,3102.2106337388564
97,2020-04-28,1939,939,92.71079632570739,1572.632262195469,True,98,1957.4651710481535,3102.2106337388564
98,2020-04-29,2002,897,92.71079632570739,1572.632262195469,True,99,2026.4348296604444,3102.2106337388564
99,2020-04-30,2039,897,92.71079632570739,1572.632262195469,True,100,2093.5514330385563,3102.2106337388564
100,2020-05-01,2086,865,92.71079632570739,1572.632262195469,True,101,2158.602172874015,3102.2106337388564
101,2020-05-02,2118,838,92.71079632570739,1572.632262195469,True,102,2221.404919362896,3102.2106337388564
102,2020-05-03,2149,820,92.71079632570739,1572.632262195469,True,103,2281.8091912896903,3102.2106337388564
103,2020-05-04,2189,774,92.71079632570739,1572.632262195469,True,104,2339.6962804004993,3102.2106337388564
104,2020-05-05,2207,696,92.71079632570739,1572.632262195469,True,105,2394.9786088590567,3102.2106337388564
105,2020-05-06,2233,646,92.71079632570739,1572.632262195469,True,106,2447.5984229110713,3102.2106337388564
106,2020-05-07,2298,632,92.71079632570739,1572.632262195469,True,107,2497.525941276865,3102.2106337388564
107,2020-05-08,2325,540,92.71079632570739,1572.632262195469,True,108,2544.7570835879546,3102.2106337388564
108,2020-05-09,2349,493,92.71079632570739,1572.632262195469,True,109,2589.31090334955,3102.2106337388564
109,2020-05-10,2418,527,92.71079632570739,1572.632262195469,True,110,2631.2268428359293,3102.2106337388564
110,2020-05-11,2486,488,92.71079632570739,1572.632262195469,True,111,2670.561915602396,3102.2106337388564
111,2020-05-12,2519,499,92.71079632570739,1572.632262195469,True,112,2707.3879075383948,3102.2106337388564
112,2020-05-13,2612,525,92.71079632570739,1572.632262195469,True,113,2741.7886710779226,3102.2106337388564
113,2020-05-14,2645,498,92.71079632570739,1572.632262195469,True,114,2773.8575705904045,3102.2106337388564
114,2020-05-15,2686,517,92.71079632570739,1572.632262195469,True,115,2803.695121090781,3102.2106337388564
115,2020-05-16,2738,514,92.71079632570739,1572.632262195469,True,116,2831.4068479414236,3102.2106337388564
116,2020-05-17,2753,494,92.71079632570739,1572.632262195469,True,117,2857.101382615947,3102.2106337388564
117,2020-05-18,2791,464,92.71079632570739,1572.632262195469,True,118,2880.8887990723565,3102.2106337388564
118,2020-05-19,2855,504,92.71079632570739,1572.632262195469,True,119,2902.879186874704,3102.2106337388564
119,2020-05-20,2939,554,92.71079632570739,1572.632262195469,True,120,2923.181450808099,3102.2106337388564
120,2020-05-21,2964,544,92.71079632570739,1572.632262195469,True,121,2941.90232216147,3102.2106337388564
121,2020-05-22,3028,523,92.71079632570739,1572.632262195469,True,122,2959.1455638642956,3102.2106337388564
122,2020-05-23,3115,570,92.71079632570739,1572.632262195469,True,123,2975.0113499950844,3102.2106337388564
123,2020-05-24,3164,586,92.71079632570739,1572.632262195469,True,124,2989.5957995699837,3102.2106337388564
124,2020-05-25,3189,569,92.71079632570739,1572.632262195469,True,125,3002.9906447261524,3102.2106337388564
125,2020-05-26,3290,640,92.71079632570739,1572.632262195469,True,126,3015.283014219597,3102.2106337388564
126,2020-05-27,3369,687,92.71079632570739,1572.632262195469,True,127,3026.5553143757,3102.2106337388564
127,2020-05-28,3444,736,92.71079632570739,1572.632262195469,True,128,3036.885191109432,3102.2106337388564
