,Report_Date,Uzbekistan_cases,active_patients,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,0,92.71079632570739,1572.632262195469,True,1,0.5442723488445086,3102.2106337388564
1,2020-01-23,0,0,92.71079632570739,1572.632262195469,True,2,0.59817261294918,3102.2106337388564
2,2020-01-24,0,0,92.71079632570739,1572.632262195469,True,3,0.6574096007202836,3102.2106337388564
3,2020-01-25,0,0,92.71079632570739,1572.632262195469,True,4,0.7225114750133249,3102.2106337388564
4,2020-01-26,0,0,92.71079632570739,1572.632262195469,True,5,0.7940586214952603,3102.2106337388564
5,2020-01-27,0,0,92.71079632570739,1572.632262195469,True,6,0.8726888022239724,3102.2106337388564
6,2020-01-28,0,0,92.71079632570739,1572.632262195469,True,7,0.959102815722297,3102.2106337388564
7,2020-01-29,0,0,92.71079632570739,1572.632262195469,True,8,1.0540707128913174,3102.2106337388564
8,2020-01-30,0,0,92.71079632570739,1572.632262195469,True,9,1.1584386228245198,3102.2106337388564
9,2020-01-31,0,0,92.71079632570739,1572.632262195469,True,10,1.2731362477331711,3102.2106337388564
10,2020-02-01,0,0,92.71079632570739,1572.632262195469,True,11,1.3991850918094217,3102.2106337388564
11,2020-02-02,0,0,92.71079632570739,1572.632262195469,True,12,1.5377074949746896,3102.2106337388564
12,2020-02-03,0,0,92.71079632570739,1572.632262195469,True,13,1.6899365491262388,3102.2106337388564
13,2020-02-04,0,0,92.71079632570739,1572.632262195469,True,14,1.8572269817457383,3102.2106337388564
14,2020-02-05,0,0,92.71079632570739,1572.632262195469,True,15,2.041067099612577,3102.2106337388564
15,2020-02-06,0,0,92.71079632570739,1572.632262195469,True,16,2.243091893915571,3102.2106337388564
16,2020-02-07,0,0,92.71079632570739,1572.632262195469,True,17,2.465097417323734,3102.2106337388564
17,2020-02-08,0,0,92.71079632570739,1572.632262195469,True,18,2.709056553604114,3102.2106337388564
18,2020-02-09,0,0,92.71079632570739,1572.632262195469,True,19,2.9771363112054936,3102.2106337388564
19,2020-02-10,0,0,92.71079632570739,1572.632262195469,True,20,3.271716783901837,3102.2106337388564
20,2020-02-11,0,0,92.71079632570739,1572.632262195469,True,21,3.595411934145816,3102.2106337388564
21,2020-02-12,0,0,92.71079632570739,1572.632262195469,True,22,3.9510923682521106,3102.2106337388564
22,2020-02-13,0,0,92.71079632570739,1572.632262195469,True,23,4.3419102869355655,3102.2106337388564
23,2020-02-14,0,0,92.71079632570739,1572.632262195469,True,24,4.771326810083274,3102.2106337388564
24,2020-02-15,0,0,92.71079632570739,1572.632262195469,True,25,5.243141890939445,3102.2106337388564
25,2020-02-16,0,0,92.71079632570739,1572.632262195469,True,26,5.761527052105799,3102.2106337388564
26,2020-02-17,0,0,92.71079632570739,1572.632262195469,True,27,6.331061193861588,3102.2106337388564
27,2020-02-18,0,0,92.71079632570739,1572.632262195469,True,28,6.95676974420755,3102.2106337388564
28,2020-02-19,0,0,92.71079632570739,1572.632262195469,True,29,7.644167439619057,3102.2106337388564
29,2020-02-20,0,0,92.71079632570739,1572.632262195469,True,30,8.399305045587349,3102.2106337388564
30,2020-02-21,0,0,92.71079632570739,1572.632262195469,True,31,9.228820346404222,3102.2106337388564
31,2020-02-22,0,0,92.71079632570739,1572.632262195469,True,32,10.13999375399936,3102.2106337388564
32,2020-02-23,0,0,92.71079632570739,1572.632262195469,True,33,11.140808905571792,3102.2106337388564
33,2020-02-24,0,0,92.71079632570739,1572.632262195469,True,34,12.240018638757038,3102.2106337388564
34,2020-02-25,0,0,92.71079632570739,1572.632262195469,True,35,13.447216750490435,3102.2106337388564
35,2020-02-26,0,0,92.71079632570739,1572.632262195469,True,36,14.772915960753672,3102.2106337388564
36,2020-02-27,0,0,92.71079632570739,1572.632262195469,True,37,16.22863251401642,3102.2106337388564
37,2020-02-28,0,0,92.71079632570739,1572.632262195469,True,38,17.8269778581662,3102.2106337388564
38,2020-02-29,0,0,92.71079632570739,1572.632262195469,True,39,19.58175784153759,3102.2106337388564
39,2020-03-01,0,0,92.71079632570739,1572.632262195469,True,40,21.508079861463905,3102.2106337388564
40,2020-03-02,0,0,92.71079632570739,1572.632262195469,True,41,23.62246838035445,3102.2106337388564
41,2020-03-03,0,0,92.71079632570739,1572.632262195469,True,42,25.94298919498644,3102.2106337388564
42,2020-03-04,0,0,92.71079632570739,1572.632262195469,True,43,28.489382798318765,3102.2106337388564
43,2020-03-05,0,0,92.71079632570739,1572.632262195469,True,44,31.283207106938676,3102.2106337388564
44,2020-03-06,0,0,92.71079632570739,1572.632262195469,True,45,34.34798973683827,3102.2106337388564
45,2020-03-07,0,0,92.71079632570739,1572.632262195469,True,46,37.709389890462674,3102.2106337388564
46,2020-03-08,0,0,92.71079632570739,1572.632262195469,True,47,41.39536976295052,3102.2106337388564
47,2020-03-09,0,0,92.71079632570739,1572.632262195469,True,48,45.43637517842466,3102.2106337388564
48,2020-03-10,0,0,92.71079632570739,1572.632262195469,True,49,49.86552492040956,3102.2106337388564
49,2020-03-11,0,0,92.71079632570739,1572.632262195469,True,50,54.71880791536566,3102.2106337388564
50,2020-03-12,0,0,92.71079632570739,1572.632262195469,True,51,60.03528705547748,3102.2106337388564
51,2020-03-13,0,0,92.71079632570739,1572.632262195469,True,52,65.85730799595983,3102.2106337388564
52,2020-03-14,0,0,92.71079632570739,1572.632262195469,True,53,72.23071072241287,3102.2106337388564
53,2020-03-15,1,1,92.71079632570739,1572.632262195469,True,54,79.20504104401533,3102.2106337388564
54,2020-03-16,6,6,92.71079632570739,1572.632262195469,True,55,86.83375841761504,3102.2106337388564
55,2020-03-17,10,10,92.71079632570739,1572.632262195469,True,56,95.17443563589556,3102.2106337388564
56,2020-03-18,15,15,92.71079632570739,1572.632262195469,True,57,104.28894491132918,3102.2106337388564
57,2020-03-19,23,23,92.71079632570739,1572.632262195469,True,58,114.24362375107825,3102.2106337388564
58,2020-03-20,33,33,92.71079632570739,1572.632262195469,True,59,125.10941274538182,3102.2106337388564
59,2020-03-21,43,43,92.71079632570739,1572.632262195469,True,60,136.96195598878066,3102.2106337388564
60,2020-03-22,43,43,92.71079632570739,1572.632262195469,True,61,149.88165333422037,3102.2106337388564
61,2020-03-23,46,46,92.71079632570739,1572.632262195469,True,62,163.95365207091814,3102.2106337388564
62,2020-03-24,50,50,92.71079632570739,1572.632262195469,True,63,179.26776395935462,3102.2106337388564
63,2020-03-25,60,60,92.71079632570739,1572.632262195469,True,64,195.91829191127252,3102.2106337388564
64,2020-03-26,75,75,92.71079632570739,1572.632262195469,True,65,214.003749052345,3102.2106337388564
65,2020-03-27,88,82,92.71079632570739,1572.632262195469,True,66,233.62645156011493,3102.2106337388564
66,2020-03-28,104,97,92.71079632570739,1572.632262195469,True,67,254.89196566968127,3102.2106337388564
