,Report_Date,Finland_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,83.15637235565679,3033.2667597042805,True,1,2.341014109964845,5876.039395230373
1,2020-01-23,0,83.15637235565679,3033.2667597042805,True,2,2.5759321997695905,5876.039395230373
2,2020-01-24,0,83.15637235565679,3033.2667597042805,True,3,2.834413032926626,5876.039395230373
3,2020-01-25,0,83.15637235565679,3033.2667597042805,True,4,3.118817676562478,5876.039395230373
4,2020-01-26,0,83.15637235565679,3033.2667597042805,True,5,3.4317432954571636,5876.039395230373
5,2020-01-27,0,83.15637235565679,3033.2667597042805,True,6,3.7760466577845584,5876.039395230373
6,2020-01-28,0,83.15637235565679,3033.2667597042805,True,7,4.154869959324074,5876.039395230373
7,2020-01-29,1,83.15637235565679,3033.2667597042805,True,8,4.571669190228509,5876.039395230373
8,2020-01-30,1,83.15637235565679,3033.2667597042805,True,9,5.030245289114139,5876.039395230373
9,2020-01-31,1,83.15637235565679,3033.2667597042805,True,10,5.534778351618192,5876.039395230373
10,2020-02-01,1,83.15637235565679,3033.2667597042805,True,11,6.089865184737921,5876.039395230373
11,2020-02-02,1,83.15637235565679,3033.2667597042805,True,12,6.700560524309788,5876.039395230373
12,2020-02-03,1,83.15637235565679,3033.2667597042805,True,13,7.372422260981505,5876.039395230373
13,2020-02-04,1,83.15637235565679,3033.2667597042805,True,14,8.111561050032773,5876.039395230373
14,2020-02-05,1,83.15637235565679,3033.2667597042805,True,15,8.924694712449606,5876.039395230373
15,2020-02-06,1,83.15637235565679,3033.2667597042805,True,16,9.819207868760055,5876.039395230373
16,2020-02-07,1,83.15637235565679,3033.2667597042805,True,17,10.803217283264154,5876.039395230373
17,2020-02-08,1,83.15637235565679,3033.2667597042805,True,18,11.88564343435693,5876.039395230373
18,2020-02-09,1,83.15637235565679,3033.2667597042805,True,19,13.076288866502637,5876.039395230373
19,2020-02-10,1,83.15637235565679,3033.2667597042805,True,20,14.385923920842968,5876.039395230373
20,2020-02-11,1,83.15637235565679,3033.2667597042805,True,21,15.826380484079285,5876.039395230373
21,2020-02-12,1,83.15637235565679,3033.2667597042805,True,22,17.410654438698266,5876.039395230373
22,2020-02-13,1,83.15637235565679,3033.2667597042805,True,23,19.15301754119316,5876.039395230373
23,2020-02-14,1,83.15637235565679,3033.2667597042805,True,24,21.06913949785333,5876.039395230373
24,2020-02-15,1,83.15637235565679,3033.2667597042805,True,25,23.176221048901862,5876.039395230373
25,2020-02-16,1,83.15637235565679,3033.2667597042805,True,26,25.49313890991122,5876.039395230373
26,2020-02-17,1,83.15637235565679,3033.2667597042805,True,27,28.04060345283053,5876.039395230373
27,2020-02-18,1,83.15637235565679,3033.2667597042805,True,28,30.841330035504157,5876.039395230373
28,2020-02-19,1,83.15637235565679,3033.2667597042805,True,29,33.920224905639174,5876.039395230373
29,2020-02-20,1,83.15637235565679,3033.2667597042805,True,30,37.30458660958503,5876.039395230373
30,2020-02-21,1,83.15637235565679,3033.2667597042805,True,31,41.0243238241155,5876.039395230373
31,2020-02-22,1,83.15637235565679,3033.2667597042805,True,32,45.11219049592517,5876.039395230373
32,2020-02-23,1,83.15637235565679,3033.2667597042805,True,33,49.60403911308732,5876.039395230373
33,2020-02-24,1,83.15637235565679,3033.2667597042805,True,34,54.53909283848105,5876.039395230373
34,2020-02-25,1,83.15637235565679,3033.2667597042805,True,35,59.960237099138055,5876.039395230373
35,2020-02-26,2,83.15637235565679,3033.2667597042805,True,36,65.91433103810894,5876.039395230373
36,2020-02-27,2,83.15637235565679,3033.2667597042805,True,37,72.4525389857404,5876.039395230373
37,2020-02-28,2,83.15637235565679,3033.2667597042805,True,38,79.63068178236878,5876.039395230373
38,2020-02-29,3,83.15637235565679,3033.2667597042805,True,39,87.50960736966351,5876.039395230373
39,2020-03-01,6,83.15637235565679,3033.2667597042805,True,40,96.15557954649894,5876.039395230373
40,2020-03-02,6,83.15637235565679,3033.2667597042805,True,41,105.64068313857639,5876.039395230373
41,2020-03-03,6,83.15637235565679,3033.2667597042805,True,42,116.04324303838447,5876.039395230373
42,2020-03-04,6,83.15637235565679,3033.2667597042805,True,43,127.44825361105408,5876.039395230373
43,2020-03-05,12,83.15637235565679,3033.2667597042805,True,44,139.94781380847382,5876.039395230373
44,2020-03-06,15,83.15637235565679,3033.2667597042805,True,45,153.64156196425571,5876.039395230373
45,2020-03-07,15,83.15637235565679,3033.2667597042805,True,46,168.6371026317302,5876.039395230373
46,2020-03-08,23,83.15637235565679,3033.2667597042805,True,47,185.05041595390026,5876.039395230373
47,2020-03-09,30,83.15637235565679,3033.2667597042805,True,48,203.00623789991067,5876.039395230373
48,2020-03-10,40,83.15637235565679,3033.2667597042805,True,49,222.63839725547413,5876.039395230373
49,2020-03-11,59,83.15637235565679,3033.2667597042805,True,50,244.09009251346475,5876.039395230373
50,2020-03-12,59,83.15637235565679,3033.2667597042805,True,51,267.5140887889393,5876.039395230373
