,Report_Date,Trinidad and Tobago_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,66.25672016051486,65.51924454276198,True,1,0.0015590417775974026,126.1795086514537
1,2020-01-23,0,66.25672016051486,65.51924454276198,True,2,0.001854901343893779,126.1795086514537
2,2020-01-24,0,66.25672016051486,65.51924454276198,True,3,0.0022069052739978087,126.1795086514537
3,2020-01-25,0,66.25672016051486,65.51924454276198,True,4,0.0026257075189432626,126.1795086514537
4,2020-01-26,0,66.25672016051486,65.51924454276198,True,5,0.0031239835595736555,126.1795086514537
5,2020-01-27,0,66.25672016051486,65.51924454276198,True,6,0.003716813913079992,126.1795086514537
6,2020-01-28,0,66.25672016051486,65.51924454276198,True,7,0.00442214036676921,126.1795086514537
7,2020-01-29,0,66.25672016051486,65.51924454276198,True,8,0.005261308719157491,126.1795086514537
8,2020-01-30,0,66.25672016051486,65.51924454276198,True,9,0.006259714414614507,126.1795086514537
9,2020-01-31,0,66.25672016051486,65.51924454276198,True,10,0.007447570554770188,126.1795086514537
10,2020-02-01,0,66.25672016051486,65.51924454276198,True,11,0.00886082144934099,126.1795086514537
11,2020-02-02,0,66.25672016051486,65.51924454276198,True,12,0.010542229239288166,126.1795086514537
12,2020-02-03,0,66.25672016051486,65.51924454276198,True,13,0.012542666314291635,126.1795086514537
13,2020-02-04,0,66.25672016051486,65.51924454276198,True,14,0.014922652405425394,126.1795086514537
14,2020-02-05,0,66.25672016051486,65.51924454276198,True,15,0.017754182540515497,126.1795086514537
15,2020-02-06,0,66.25672016051486,65.51924454276198,True,16,0.021122900713001266,126.1795086514537
16,2020-02-07,0,66.25672016051486,65.51924454276198,True,17,0.02513068438030619,126.1795086514537
17,2020-02-08,0,66.25672016051486,65.51924454276198,True,18,0.029898717061252154,126.1795086514537
18,2020-02-09,0,66.25672016051486,65.51924454276198,True,19,0.035571140677552786,126.1795086514537
19,2020-02-10,0,66.25672016051486,65.51924454276198,True,20,0.04231939626863421,126.1795086514537
20,2020-02-11,0,66.25672016051486,65.51924454276198,True,21,0.050347381747668535,126.1795086514537
21,2020-02-12,0,66.25672016051486,65.51924454276198,True,22,0.059897578969735306,126.1795086514537
22,2020-02-13,0,66.25672016051486,65.51924454276198,True,23,0.07125833012853225,126.1795086514537
23,2020-02-14,0,66.25672016051486,65.51924454276198,True,24,0.08477247603346025,126.1795086514537
24,2020-02-15,0,66.25672016051486,65.51924454276198,True,25,0.10084760685767936,126.1795086514537
25,2020-02-16,0,66.25672016051486,65.51924454276198,True,26,0.1199682202589006,126.1795086514537
26,2020-02-17,0,66.25672016051486,65.51924454276198,True,27,0.14271013316112005,126.1795086514537
27,2020-02-18,0,66.25672016051486,65.51924454276198,True,28,0.16975755274541843,126.1795086514537
28,2020-02-19,0,66.25672016051486,65.51924454276198,True,29,0.20192328006134494,126.1795086514537
29,2020-02-20,0,66.25672016051486,65.51924454276198,True,30,0.24017259669939742,126.1795086514537
30,2020-02-21,0,66.25672016051486,65.51924454276198,True,31,0.2856514714021382,126.1795086514537
31,2020-02-22,0,66.25672016051486,65.51924454276198,True,32,0.33971981903404713,126.1795086514537
32,2020-02-23,0,66.25672016051486,65.51924454276198,True,33,0.4039906478026316,126.1795086514537
33,2020-02-24,0,66.25672016051486,65.51924454276198,True,34,0.4803760395067241,126.1795086514537
34,2020-02-25,0,66.25672016051486,65.51924454276198,True,35,0.5711410173573469,126.1795086514537
35,2020-02-26,0,66.25672016051486,65.51924454276198,True,36,0.6789664591204249,126.1795086514537
36,2020-02-27,0,66.25672016051486,65.51924454276198,True,37,0.8070222983328024,126.1795086514537
37,2020-02-28,0,66.25672016051486,65.51924454276198,True,38,0.9590523056349278,126.1795086514537
38,2020-02-29,0,66.25672016051486,65.51924454276198,True,39,1.1394717302478623,126.1795086514537
39,2020-03-01,0,66.25672016051486,65.51924454276198,True,40,1.353478971780332,126.1795086514537
40,2020-03-02,0,66.25672016051486,65.51924454276198,True,41,1.6071821939521986,126.1795086514537
41,2020-03-03,0,66.25672016051486,65.51924454276198,True,42,1.9077413150334175,126.1795086514537
42,2020-03-04,0,66.25672016051486,65.51924454276198,True,43,2.2635250224866397,126.1795086514537
43,2020-03-05,0,66.25672016051486,65.51924454276198,True,44,2.6842812421567634,126.1795086514537
44,2020-03-06,0,66.25672016051486,65.51924454276198,True,45,3.181317696647473,126.1795086514537
45,2020-03-07,0,66.25672016051486,65.51924454276198,True,46,3.7676866366031705,126.1795086514537
46,2020-03-08,0,66.25672016051486,65.51924454276198,True,47,4.458364327019015,126.1795086514537
47,2020-03-09,0,66.25672016051486,65.51924454276198,True,48,5.27041122666838,126.1795086514537
48,2020-03-10,0,66.25672016051486,65.51924454276198,True,49,6.223092867990233,126.1795086514537
49,2020-03-11,0,66.25672016051486,65.51924454276198,True,50,7.337934205625079,126.1795086514537
50,2020-03-12,0,66.25672016051486,65.51924454276198,True,51,8.63867187193808,126.1795086514537
51,2020-03-13,0,66.25672016051486,65.51924454276198,True,52,10.151059979733283,126.1795086514537
52,2020-03-14,2,66.25672016051486,65.51924454276198,True,53,11.902477081672975,126.1795086514537
53,2020-03-15,2,66.25672016051486,65.51924454276198,True,54,13.921276703038405,126.1795086514537
54,2020-03-16,4,66.25672016051486,65.51924454276198,True,55,16.235824573944758,126.1795086514537
55,2020-03-17,5,66.25672016051486,65.51924454276198,True,56,18.873176319140587,126.1795086514537
56,2020-03-18,7,66.25672016051486,65.51924454276198,True,57,21.857374455784303,126.1795086514537
