,Report_Date,Italy_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,62.1404753637304,64898.90212816772,True,1,1.5621580562347899,125220.12043462839
1,2020-01-23,0,62.1404753637304,64898.90212816772,True,2,1.8801251677357027,125220.12043462839
2,2020-01-24,0,62.1404753637304,64898.90212816772,True,3,2.2628112883058247,125220.12043462839
3,2020-01-25,0,62.1404753637304,64898.90212816772,True,4,2.723388815571671,125220.12043462839
4,2020-01-26,0,62.1404753637304,64898.90212816772,True,5,3.2777109263048914,125220.12043462839
5,2020-01-27,0,62.1404753637304,64898.90212816772,True,6,3.9448570531146894,125220.12043462839
6,2020-01-28,0,62.1404753637304,64898.90212816772,True,7,4.747789307400946,125220.12043462839
7,2020-01-29,0,62.1404753637304,64898.90212816772,True,8,5.714142393805303,125220.12043462839
8,2020-01-30,0,62.1404753637304,64898.90212816772,True,9,6.877174133595845,125220.12043462839
9,2020-01-31,2,62.1404753637304,64898.90212816772,True,10,8.276909209741579,125220.12043462839
10,2020-02-01,2,62.1404753637304,64898.90212816772,True,11,9.961515349398361,125220.12043462839
11,2020-02-02,2,62.1404753637304,64898.90212816772,True,12,11.988959090709164,125220.12043462839
12,2020-02-03,2,62.1404753637304,64898.90212816772,True,13,14.428997803497822,125220.12043462839
13,2020-02-04,2,62.1404753637304,64898.90212816772,True,14,17.365576061310858,125220.12043462839
14,2020-02-05,2,62.1404753637304,64898.90212816772,True,15,20.89970816831395,125220.12043462839
15,2020-02-06,2,62.1404753637304,64898.90212816772,True,16,25.152945071051267,125220.12043462839
16,2020-02-07,3,62.1404753637304,64898.90212816772,True,17,30.271543554744497,125220.12043462839
17,2020-02-08,3,62.1404753637304,64898.90212816772,True,18,36.43147915191716,125220.12043462839
18,2020-02-09,3,62.1404753637304,64898.90212816772,True,19,43.8444722981864,125220.12043462839
19,2020-02-10,3,62.1404753637304,64898.90212816772,True,20,52.76523079435285,125220.12043462839
20,2020-02-11,3,62.1404753637304,64898.90212816772,True,21,63.50015154267564,125220.12043462839
21,2020-02-12,3,62.1404753637304,64898.90212816772,True,22,76.4177719224563,125220.12043462839
22,2020-02-13,3,62.1404753637304,64898.90212816772,True,23,91.96131729792661,125220.12043462839
23,2020-02-14,3,62.1404753637304,64898.90212816772,True,24,110.6637573803366,125220.12043462839
24,2020-02-15,3,62.1404753637304,64898.90212816772,True,25,133.1658619663759,125220.12043462839
25,2020-02-16,3,62.1404753637304,64898.90212816772,True,26,160.23783745936424,125220.12043462839
26,2020-02-17,3,62.1404753637304,64898.90212816772,True,27,192.80523100091565,125220.12043462839
27,2020-02-18,3,62.1404753637304,64898.90212816772,True,28,231.97991022247737,125220.12043462839
28,2020-02-19,3,62.1404753637304,64898.90212816772,True,29,279.0970642929465,125220.12043462839
29,2020-02-20,3,62.1404753637304,64898.90212816772,True,30,335.759325901846,125220.12043462839
30,2020-02-21,20,62.1404753637304,64898.90212816772,True,31,403.88928235227405,125220.12043462839
31,2020-02-22,62,62.1404753637304,64898.90212816772,True,32,485.7918228644297,125220.12043462839
32,2020-02-23,155,62.1404753637304,64898.90212816772,True,33,584.2279505458979,125220.12043462839
33,2020-02-24,229,62.1404753637304,64898.90212816772,True,34,702.5018576322107,125220.12043462839
34,2020-02-25,322,62.1404753637304,64898.90212816772,True,35,844.5631995902436,125220.12043462839
35,2020-02-26,453,62.1404753637304,64898.90212816772,True,36,1015.1265736327648,125220.12043462839
36,2020-02-27,655,62.1404753637304,64898.90212816772,True,37,1219.8101594962357,125220.12043462839
37,2020-02-28,888,62.1404753637304,64898.90212816772,True,38,1465.295241393361,125220.12043462839
38,2020-02-29,1128,62.1404753637304,64898.90212816772,True,39,1759.5077955895727,125220.12043462839
39,2020-03-01,1694,62.1404753637304,64898.90212816772,True,40,2111.8223541645,125220.12043462839
40,2020-03-02,2036,62.1404753637304,64898.90212816772,True,41,2533.286749394397,125220.12043462839
41,2020-03-03,2502,62.1404753637304,64898.90212816772,True,42,3036.8638555601697,125220.12043462839
42,2020-03-04,3089,62.1404753637304,64898.90212816772,True,43,3637.6827683306733,125220.12043462839
43,2020-03-05,3858,62.1404753637304,64898.90212816772,True,44,4353.28664150596,125220.12043462839
44,2020-03-06,4636,62.1404753637304,64898.90212816772,True,45,5203.857270415653,125220.12043462839
45,2020-03-07,5883,62.1404753637304,64898.90212816772,True,46,6212.387169343641,125220.12043462839
46,2020-03-08,7375,62.1404753637304,64898.90212816772,True,47,7404.758241612744,125220.12043462839
47,2020-03-09,9172,62.1404753637304,64898.90212816772,True,48,8809.672525906808,125220.12043462839
48,2020-03-10,10149,62.1404753637304,64898.90212816772,True,49,10458.366034739362,125220.12043462839
49,2020-03-11,12462,62.1404753637304,64898.90212816772,True,50,12384.023703514047,125220.12043462839
50,2020-03-12,12462,62.1404753637304,64898.90212816772,True,51,14620.805936661061,125220.12043462839
51,2020-03-13,17660,62.1404753637304,64898.90212816772,True,52,17202.40114722751,125220.12043462839
52,2020-03-14,21157,62.1404753637304,64898.90212816772,True,53,20160.04180936296,125220.12043462839
53,2020-03-15,24747,62.1404753637304,64898.90212816772,True,54,23519.972267922774,125220.12043462839
54,2020-03-16,27980,62.1404753637304,64898.90212816772,True,55,27300.441185662752,125220.12043462839
55,2020-03-17,31506,62.1404753637304,64898.90212816772,True,56,31508.409863919733,125220.12043462839
56,2020-03-18,35713,62.1404753637304,64898.90212816772,True,57,36136.30759648493,125220.12043462839
57,2020-03-19,41035,62.1404753637304,64898.90212816772,True,58,41159.29831136737,125220.12043462839
58,2020-03-20,47021,62.1404753637304,64898.90212816772,True,59,46533.60499803394,125220.12043462839
59,2020-03-21,53578,62.1404753637304,64898.90212816772,True,60,52196.41960176548,125220.12043462839
60,2020-03-22,59138,62.1404753637304,64898.90212816772,True,61,58067.76907875466,125220.12043462839
61,2020-03-23,63927,62.1404753637304,64898.90212816772,True,62,64054.4128737574,125220.12043462839
62,2020-03-24,69176,62.1404753637304,64898.90212816772,True,63,70055.46566842204,125220.12043462839
63,2020-03-25,74386,62.1404753637304,64898.90212816772,True,64,75969.0712588172,125220.12043462839
64,2020-03-26,80589,62.1404753637304,64898.90212816772,True,65,81699.2127967509,125220.12043462839
65,2020-03-27,86498,62.1404753637304,64898.90212816772,True,66,87161.71258493088,125220.12043462839
66,2020-03-28,92472,62.1404753637304,64898.90212816772,True,67,92288.66230320219,125220.12043462839
67,2020-03-29,97689,62.1404753637304,64898.90212816772,True,68,97030.86774538169,125220.12043462839
68,2020-03-30,101739,62.1404753637304,64898.90212816772,True,69,101358.28125988852,125220.12043462839
69,2020-03-31,105792,62.1404753637304,64898.90212816772,True,70,105258.72233977512,125220.12043462839
